"Line","Fhb1","1RS:1AL","Lr34/Yr18","Sr24/Lr24","Tamyb10-B1","Tamyb10-D1","Fhb_3B_MASSEY","Yr15","Lr42","Glu-D1","Ppd-B1_CS","Glu-A1","Vrn-A1b","H13","H13b","TaELF3-B1","TaELF3-D1","Lr37/Yr17/Sr38","Lr13/Ne2m","Fhb_2B_Bess","TaSus2-2B","Sr36/Pm6","Ppd-D1_Norstar_deletion","PHS_3A","Tamyb10_N17_INS","Tamyb10-A1","Yr5","Sr12","Lr67","vrn-A1_MTA","Vrn-A1a","Tsn1","vrn-B1","Vrn-B1","Pinb-D1","Vrn-D1","TaGW2","Rht24","Pm54","Sr6D","7AL_grain_length/weight","Sr22_or_Pm37","Lr68","Lr19/Sr25","Bdv2/3","Vrn-B1c","Fhb7"
"2024-SUNPRE-93","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white_het","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1_short_het","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","Pm54","non-Sr6D","het","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNPRE-94","non-Fhb1","non-1RS:1AL",NA,"non-Sr24/Lr24","R-A1","r-D1_white",NA,"non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b",NA,"non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38",NA,"non-Fhb_2B_Bess","non-TaSus2-2B",NA,"UNIDENTIFIED",NA,"non-Tamyb10_N17_INS",NA,"non-Yr5","non-Sr12","non-Lr67",NA,NA,"non-Tsn1",NA,NA,"pinb-D1a_soft",NA,NA,"Rht24b","UNIDENTIFIED","non-Sr6D","UNIDENTIFIED","UNIDENTIFIED","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNPRE-95","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","Lr42_het","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","UNIDENTIFIED","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1_short","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNPRE-96",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED",NA,"non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","UNIDENTIFIED","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNPRE-97",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNPRE-98",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1_short","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNPRE-99","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED",NA,"non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-1","Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","UNIDENTIFIED","non-Lr67","vrn-A1","vrn-A1","Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","UNIDENTIFIED","non-longer/heavier","non-Sr22_or_Pm37","Lr68_het","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-10","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","UNIDENTIFIED","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-11",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38_het","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white_het","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1_short","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","Pm54","UNIDENTIFIED","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-12",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1_short","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","Pm54","UNIDENTIFIED","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-13",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38_het","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white_het","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1_short","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-14",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1_short","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","UNIDENTIFIED","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-15","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-16","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","H13_het","H13_het","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B_het","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white_het","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1_short_het","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68_het","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-17","Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","het","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short_het","vrn-A1","non-Tsn1","vrn-B1_short_het","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","Sr6D_het","het","non-Sr22_or_Pm37","Lr68_het","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-18","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short_het","vrn-A1","non-Tsn1","vrn-B1_short","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-19",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short_het","vrn-A1","non-Tsn1","vrn-B1_short","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-2",NA,"non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1_short","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","Pm54","Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-20","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","Sr36/Pm6_het","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white","non-Yr5","UNIDENTIFIED","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-21","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","UNIDENTIFIED","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-22","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","non-ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","UNIDENTIFIED","UNIDENTIFIED","het","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-23",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b",NA,"non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-24","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","UNIDENTIFIED","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","UNIDENTIFIED",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","Pm54","Sr6D","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-25","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","H13","H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38",NA,"non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large_het","Rht24b","non-Pm54","Sr6D_het","UNIDENTIFIED","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-26","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b",NA,"UNIDENTIFIED","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38",NA,"non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-27","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","H13","H13_het","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","Tsn1_het","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-28",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","H13_het","H13_het","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-29","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","H13","H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b_het","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-SUNWHEAT-3","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68_het","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
